state,sentiment
AL,0.3723849372384937
AR,0.5265700483091788
AZ,0.4807692307692308
CA,0.5685279187817259
CO,0.5074626865671642
CT,0.7407407407407407
DE,0.8947368421052632
FL,0.5098039215686274
GA,0.40611353711790393
IA,0.36633663366336633
ID,0.6095890410958904
IL,0.5621890547263682
IN,0.5454545454545454
KS,0.6764705882352942
KY,0.5882352941176471
LA,0.5376344086021505
MA,0.46218487394957986
MD,0.41228070175438597
ME,0.46153846153846156
MI,0.54
MN,0.4803921568627451
MO,0.5784313725490197
MS,0.3813559322033898
MT,0.625
NC,0.5943396226415094
ND,0.5688073394495413
NE,0.6730769230769231
NH,0.3898305084745763
NJ,0.5043478260869565
NM,0.5242718446601942
NV,0.5542168674698795
NY,0.550561797752809
OH,0.6781609195402298
OK,0.5585585585585585
OR,0.40404040404040403
PA,0.6185567010309279
RI,0.5106382978723404
SC,0.4049586776859504
SD,0.391304347826087
TN,0.5769230769230769
TX,0.48514851485148514
UT,0.5137614678899083
VA,0.6138613861386139
VT,0.34375
WA,0.36752136752136755
